Date;Workout Name;Exercise Name;Set Order;Weight;Weight Unit;Reps;RPE;Distance;Distance Unit;Seconds;Notes;Workout Notes;Workout Duration
2022-03-10 20:48:45;"Dorsali e Tricipiti";"Pull Up (Assisted)";1;35;kg;12;;;;0;"";"";1h 17m
2022-03-10 20:48:45;"Dorsali e Tricipiti";"Pull Up (Assisted)";2;25;kg;8;;;;0;;;1h 17m
2022-03-10 20:48:45;"Dorsali e Tricipiti";"Pull Up (Assisted)";3;25;kg;7;;;;0;;;1h 17m
2022-03-10 20:48:45;"Dorsali e Tricipiti";"Seated Row (Cable)";1;25;kg;14;;;;0;"";;1h 17m
2022-03-10 20:48:45;"Dorsali e Tricipiti";"Seated Row (Cable)";2;35;kg;12;;;;0;;;1h 17m
2022-03-10 20:48:45;"Dorsali e Tricipiti";"Seated Row (Cable)";3;35;kg;10;;;;0;;;1h 17m
2022-03-10 20:48:45;"Dorsali e Tricipiti";"Seated Row (Cable)";4;35;kg;10;;;;0;;;1h 17m
2022-03-10 20:48:45;"Dorsali e Tricipiti";"Lat Pulldown (Cable)";1;25;kg;15;;;;0;"";;1h 17m
2022-03-10 20:48:45;"Dorsali e Tricipiti";"Lat Pulldown (Cable)";2;35;kg;12;;;;0;;;1h 17m
2022-03-10 20:48:45;"Dorsali e Tricipiti";"Lat Pulldown (Cable)";3;35;kg;12;;;;0;;;1h 17m
2022-03-10 20:48:45;"Dorsali e Tricipiti";"Lat Pulldown (Cable)";4;35;kg;10;;;;0;;;1h 17m
2022-03-10 20:48:45;"Dorsali e Tricipiti";"Triceps Dip (Assisted)";1;25;kg;8;;;;0;"";;1h 17m
2022-03-10 20:48:45;"Dorsali e Tricipiti";"Triceps Dip (Assisted)";2;20;kg;8;;;;0;;;1h 17m
2022-03-10 20:48:45;"Dorsali e Tricipiti";"Triceps Dip (Assisted)";3;20;kg;8;;;;0;;;1h 17m
2022-03-10 20:48:45;"Dorsali e Tricipiti";"Triceps Dip (Assisted)";4;20;kg;6;;;;0;;;1h 17m
2022-03-10 20:48:45;"Dorsali e Tricipiti";"Triceps Extension (Dumbbell)";1;6;kg;8;;;;0;"";;1h 17m
2022-03-10 20:48:45;"Dorsali e Tricipiti";"Triceps Extension (Dumbbell)";2;7;kg;6;;;;0;;;1h 17m
2022-03-10 20:48:45;"Dorsali e Tricipiti";"Triceps Extension (Dumbbell)";3;7;kg;8;;;;0;;;1h 17m
2022-03-10 20:48:45;"Dorsali e Tricipiti";"Triceps Extension (Dumbbell)";4;7;kg;6;;;;0;;;1h 17m
2022-03-10 20:48:45;"Dorsali e Tricipiti";"Triceps Pushdown (Cable - Straight Bar)";1;20;kg;12;;;;0;"";;1h 17m
2022-03-10 20:48:45;"Dorsali e Tricipiti";"Triceps Pushdown (Cable - Straight Bar)";2;30;kg;8;;;;0;;;1h 17m
2022-03-10 20:48:45;"Dorsali e Tricipiti";"Triceps Pushdown (Cable - Straight Bar)";3;25;kg;8;;;;0;;;1h 17m
2022-03-10 20:48:45;"Dorsali e Tricipiti";"Triceps Pushdown (Cable - Straight Bar)";4;25;kg;7;;;;0;;;1h 17m
2022-03-10 20:48:45;"Dorsali e Tricipiti";"Sit Up";1;;;12;;;;0;"";;1h 17m
2022-03-10 20:48:45;"Dorsali e Tricipiti";"Sit Up";2;10;kg;12;;;;0;;;1h 17m
2022-03-10 20:48:45;"Dorsali e Tricipiti";"Sit Up";3;10;kg;12;;;;0;;;1h 17m
2022-03-10 20:48:45;"Dorsali e Tricipiti";"Crunch (Machine)";1;35;kg;10;;;;0;"";;1h 17m
2022-03-10 20:48:45;"Dorsali e Tricipiti";"Crunch (Machine)";2;40;kg;8;;;;0;;;1h 17m
2022-03-10 20:48:45;"Dorsali e Tricipiti";"Crunch (Machine)";3;35;kg;8;;;;0;;;1h 17m
2022-03-13 09:18:32;"Gambe Glutei e Deltoidi";"Leg Press";1;53;kg;12;;;;0;"";"mancava il tondo per gli hip thrust e stavo morendo per il dolore";1h 14m
2022-03-13 09:18:32;"Gambe Glutei e Deltoidi";"Leg Press";2;69;kg;12;;;;0;;;1h 14m
2022-03-13 09:18:32;"Gambe Glutei e Deltoidi";"Leg Press";3;69;kg;12;;;;0;;;1h 14m
2022-03-13 09:18:32;"Gambe Glutei e Deltoidi";"Leg Press";4;69;kg;12;;;;0;;;1h 14m
2022-03-13 09:18:32;"Gambe Glutei e Deltoidi";"Standing Calf Raise (Machine)";1;40;kg;12;;;;0;"";;1h 14m
2022-03-13 09:18:32;"Gambe Glutei e Deltoidi";"Standing Calf Raise (Machine)";2;45;kg;12;;;;0;;;1h 14m
2022-03-13 09:18:32;"Gambe Glutei e Deltoidi";"Standing Calf Raise (Machine)";3;45;kg;12;;;;0;;;1h 14m
2022-03-13 09:18:32;"Gambe Glutei e Deltoidi";"Standing Calf Raise (Machine)";4;45;kg;12;;;;0;;;1h 14m
2022-03-13 09:18:32;"Gambe Glutei e Deltoidi";"Lying Leg Curl (Machine)";1;30;kg;12;;;;0;"";;1h 14m
2022-03-13 09:18:32;"Gambe Glutei e Deltoidi";"Lying Leg Curl (Machine)";2;35;kg;10;;;;0;;;1h 14m
2022-03-13 09:18:32;"Gambe Glutei e Deltoidi";"Lying Leg Curl (Machine)";3;35;kg;8;;;;0;;;1h 14m
2022-03-13 09:18:32;"Gambe Glutei e Deltoidi";"Lying Leg Curl (Machine)";4;30;kg;8;;;;0;;;1h 14m
2022-03-13 09:18:32;"Gambe Glutei e Deltoidi";"Hip Thrust (Barbell)";1;30;kg;8;;;;0;"";;1h 14m
2022-03-13 09:18:32;"Gambe Glutei e Deltoidi";"Hip Thrust (Barbell)";2;30;kg;6;;;;0;;;1h 14m
2022-03-13 09:18:32;"Gambe Glutei e Deltoidi";"Hip Thrust (Barbell)";3;30;kg;10;;;;0;;;1h 14m
2022-03-13 09:18:32;"Gambe Glutei e Deltoidi";"Hip Thrust (Barbell)";4;30;kg;10;;;;0;;;1h 14m
2022-03-13 09:18:32;"Gambe Glutei e Deltoidi";"Hip Abductor (Machine)";1;35;kg;12;;;;0;"";;1h 14m
2022-03-13 09:18:32;"Gambe Glutei e Deltoidi";"Hip Abductor (Machine)";2;40;kg;12;;;;0;;;1h 14m
2022-03-13 09:18:32;"Gambe Glutei e Deltoidi";"Hip Abductor (Machine)";3;40;kg;12;;;;0;;;1h 14m
2022-03-13 09:18:32;"Gambe Glutei e Deltoidi";"Hip Abductor (Machine)";4;40;kg;12;;;;0;;;1h 14m
2022-03-13 09:18:32;"Gambe Glutei e Deltoidi";"Hip Adductor (Machine)";1;30;kg;12;;;;0;"";;1h 14m
2022-03-13 09:18:32;"Gambe Glutei e Deltoidi";"Hip Adductor (Machine)";2;40;kg;8;;;;0;;;1h 14m
2022-03-13 09:18:32;"Gambe Glutei e Deltoidi";"Hip Adductor (Machine)";3;40;kg;8;;;;0;;;1h 14m
2022-03-13 09:18:32;"Gambe Glutei e Deltoidi";"Hip Adductor (Machine)";4;40;kg;6;;;;0;;;1h 14m
2022-03-13 09:18:32;"Gambe Glutei e Deltoidi";"Seated Overhead Press (Dumbbell)";1;7;kg;12;;;;0;"";;1h 14m
2022-03-13 09:18:32;"Gambe Glutei e Deltoidi";"Seated Overhead Press (Dumbbell)";2;7;kg;12;;;;0;;;1h 14m
2022-03-13 09:18:32;"Gambe Glutei e Deltoidi";"Seated Overhead Press (Dumbbell)";3;7;kg;12;;;;0;;;1h 14m
2022-03-13 09:18:32;"Gambe Glutei e Deltoidi";"Seated Overhead Press (Dumbbell)";4;7;kg;12;;;;0;;;1h 14m
2022-03-13 09:18:32;"Gambe Glutei e Deltoidi";"Shoulder Press (Machine)";1;20;kg;15;;;;0;"";;1h 14m
2022-03-13 09:18:32;"Gambe Glutei e Deltoidi";"Shoulder Press (Machine)";2;25;kg;12;;;;0;;;1h 14m
2022-03-13 09:18:32;"Gambe Glutei e Deltoidi";"Shoulder Press (Machine)";3;25;kg;11;;;;0;;;1h 14m
2022-03-13 09:18:32;"Gambe Glutei e Deltoidi";"Shoulder Press (Machine)";4;25;kg;8;;;;0;;;1h 14m
2022-03-13 09:18:32;"Gambe Glutei e Deltoidi";"Front Raise (Cable)";1;15;kg;8;;;;0;"";;1h 14m
2022-03-13 09:18:32;"Gambe Glutei e Deltoidi";"Front Raise (Cable)";2;15;kg;8;;;;0;;;1h 14m
2022-03-13 09:18:32;"Gambe Glutei e Deltoidi";"Front Raise (Cable)";3;15;kg;8;;;;0;;;1h 14m
2022-03-13 09:18:32;"Gambe Glutei e Deltoidi";"Front Raise (Cable)";4;15;kg;8;;;;0;;;1h 14m
2022-03-15 16:00:04;"Petto Bicipiti";"Bench Press (Barbell)";1;25;kg;20;;;;0;"";"";1h 16m
2022-03-15 16:00:04;"Petto Bicipiti";"Bench Press (Barbell)";2;30;kg;10;;;;0;;;1h 16m
2022-03-15 16:00:04;"Petto Bicipiti";"Bench Press (Barbell)";3;30;kg;8;;;;0;;;1h 16m
2022-03-15 16:00:04;"Petto Bicipiti";"Bench Press (Barbell)";4;30;kg;7;;;;0;;;1h 16m
2022-03-15 16:00:04;"Petto Bicipiti";"Incline Bench Press (Dumbbell)";1;10;kg;12;;;;0;"";;1h 16m
2022-03-15 16:00:04;"Petto Bicipiti";"Incline Bench Press (Dumbbell)";2;10;kg;12;;;;0;;;1h 16m
2022-03-15 16:00:04;"Petto Bicipiti";"Incline Bench Press (Dumbbell)";3;10;kg;10;;;;0;;;1h 16m
2022-03-15 16:00:04;"Petto Bicipiti";"Incline Bench Press (Dumbbell)";4;10;kg;8;;;;0;;;1h 16m
2022-03-15 16:00:04;"Petto Bicipiti";"Chest Fly";1;20;kg;12;;;;0;"";;1h 16m
2022-03-15 16:00:04;"Petto Bicipiti";"Chest Fly";2;25;kg;10;;;;0;;;1h 16m
2022-03-15 16:00:04;"Petto Bicipiti";"Chest Fly";3;25;kg;8;;;;0;;;1h 16m
2022-03-15 16:00:04;"Petto Bicipiti";"Chest Fly";4;25;kg;7;;;;0;;;1h 16m
2022-03-15 16:00:04;"Petto Bicipiti";"Bicep Curl (Dumbbell)";1;6;kg;10;;;;0;"";;1h 16m
2022-03-15 16:00:04;"Petto Bicipiti";"Bicep Curl (Dumbbell)";2;8;kg;8;;;;0;;;1h 16m
2022-03-15 16:00:04;"Petto Bicipiti";"Bicep Curl (Dumbbell)";3;8;kg;6;;;;0;;;1h 16m
2022-03-15 16:00:04;"Petto Bicipiti";"Bicep Curl (Dumbbell)";4;8;kg;5;;;;0;;;1h 16m
2022-03-15 16:00:04;"Petto Bicipiti";"Preacher Curl (Barbell)";1;0;kg;20;;;;0;"";;1h 16m
2022-03-15 16:00:04;"Petto Bicipiti";"Preacher Curl (Barbell)";2;5;kg;12;;;;0;;;1h 16m
2022-03-15 16:00:04;"Petto Bicipiti";"Preacher Curl (Barbell)";3;7,5;kg;8;;;;0;;;1h 16m
2022-03-15 16:00:04;"Petto Bicipiti";"Preacher Curl (Barbell)";4;7,5;kg;7;;;;0;;;1h 16m
2022-03-15 16:00:04;"Petto Bicipiti";"Hammer Curl (Dumbbell)";1;6;kg;12;;;;0;"";;1h 16m
2022-03-15 16:00:04;"Petto Bicipiti";"Hammer Curl (Dumbbell)";2;6;kg;9;;;;0;;;1h 16m
2022-03-15 16:00:04;"Petto Bicipiti";"Hammer Curl (Dumbbell)";3;6;kg;6;;;;0;;;1h 16m
2022-03-15 16:00:04;"Petto Bicipiti";"Hammer Curl (Dumbbell)";4;6;kg;6;;;;0;;;1h 16m
2022-03-15 16:00:04;"Petto Bicipiti";"Sit Up";1;10;kg;12;;;;0;"";;1h 16m
2022-03-15 16:00:04;"Petto Bicipiti";"Sit Up";2;10;kg;16;;;;0;;;1h 16m
2022-03-15 16:00:04;"Petto Bicipiti";"Sit Up";3;10;kg;16;;;;0;;;1h 16m
2022-03-15 16:00:04;"Petto Bicipiti";"Back Extension";1;0;kg;30;;;;0;"";;1h 16m
2022-03-15 16:00:04;"Petto Bicipiti";"Back Extension";2;0;kg;30;;;;0;;;1h 16m
2022-03-15 16:00:04;"Petto Bicipiti";"Back Extension";3;0;kg;30;;;;0;;;1h 16m
2022-03-17 12:18:09;"Dorsali e Tricipiti";"Pull Up (Assisted)";1;35;kg;12;;;;0;"";"";1h 16m
2022-03-17 12:18:09;"Dorsali e Tricipiti";"Pull Up (Assisted)";2;25;kg;10;;;;0;;;1h 16m
2022-03-17 12:18:09;"Dorsali e Tricipiti";"Pull Up (Assisted)";3;25;kg;9;;;;0;;;1h 16m
2022-03-17 12:18:09;"Dorsali e Tricipiti";"Pull Up (Assisted)";4;25;kg;8;;;;0;;;1h 16m
2022-03-17 12:18:09;"Dorsali e Tricipiti";"Seated Row (Cable)";1;25;kg;20;;;;0;"";;1h 16m
2022-03-17 12:18:09;"Dorsali e Tricipiti";"Seated Row (Cable)";2;35;kg;12;;;;0;;;1h 16m
2022-03-17 12:18:09;"Dorsali e Tricipiti";"Seated Row (Cable)";3;35;kg;10;;;;0;;;1h 16m
2022-03-17 12:18:09;"Dorsali e Tricipiti";"Seated Row (Cable)";4;35;kg;8;;;;0;;;1h 16m
2022-03-17 12:18:09;"Dorsali e Tricipiti";"Lat Pulldown (Cable)";1;25;kg;20;;;;0;"";;1h 16m
2022-03-17 12:18:09;"Dorsali e Tricipiti";"Lat Pulldown (Cable)";2;35;kg;12;;;;0;;;1h 16m
2022-03-17 12:18:09;"Dorsali e Tricipiti";"Lat Pulldown (Cable)";3;35;kg;12;;;;0;;;1h 16m
2022-03-17 12:18:09;"Dorsali e Tricipiti";"Lat Pulldown (Cable)";4;35;kg;10;;;;0;;;1h 16m
2022-03-17 12:18:09;"Dorsali e Tricipiti";"Chest Dip (Assisted)";1;35;kg;15;;;;0;"";;1h 16m
2022-03-17 12:18:09;"Dorsali e Tricipiti";"Chest Dip (Assisted)";2;25;kg;12;;;;0;;;1h 16m
2022-03-17 12:18:09;"Dorsali e Tricipiti";"Chest Dip (Assisted)";3;20;kg;8;;;;0;;;1h 16m
2022-03-17 12:18:09;"Dorsali e Tricipiti";"Chest Dip (Assisted)";4;20;kg;8;;;;0;;;1h 16m
2022-03-17 12:18:09;"Dorsali e Tricipiti";"Triceps Extension (Dumbbell)";1;6;kg;12;;;;0;"";;1h 16m
2022-03-17 12:18:09;"Dorsali e Tricipiti";"Triceps Extension (Dumbbell)";2;6;kg;10;;;;0;;;1h 16m
2022-03-17 12:18:09;"Dorsali e Tricipiti";"Triceps Extension (Dumbbell)";3;6;kg;8;;;;0;;;1h 16m
2022-03-17 12:18:09;"Dorsali e Tricipiti";"Triceps Extension (Dumbbell)";4;6;kg;8;;;;0;;;1h 16m
2022-03-17 12:18:09;"Dorsali e Tricipiti";"Triceps Pushdown (Cable - Straight Bar)";1;20;kg;15;;;;0;"";;1h 16m
2022-03-17 12:18:09;"Dorsali e Tricipiti";"Triceps Pushdown (Cable - Straight Bar)";2;25;kg;12;;;;0;;;1h 16m
2022-03-17 12:18:09;"Dorsali e Tricipiti";"Triceps Pushdown (Cable - Straight Bar)";3;25;kg;10;;;;0;;;1h 16m
2022-03-17 12:18:09;"Dorsali e Tricipiti";"Triceps Pushdown (Cable - Straight Bar)";4;25;kg;10;;;;0;;;1h 16m
2022-03-17 12:18:09;"Dorsali e Tricipiti";"Sit Up";1;10;kg;15;;;;0;"";;1h 16m
2022-03-17 12:18:09;"Dorsali e Tricipiti";"Sit Up";2;10;kg;15;;;;0;;;1h 16m
2022-03-17 12:18:09;"Dorsali e Tricipiti";"Sit Up";3;10;kg;15;;;;0;;;1h 16m
2022-03-17 12:18:09;"Dorsali e Tricipiti";"Back Extension";1;;;30;;;;0;"";;1h 16m
2022-03-17 12:18:09;"Dorsali e Tricipiti";"Back Extension";2;;;30;;;;0;;;1h 16m
2022-03-17 12:18:09;"Dorsali e Tricipiti";"Back Extension";3;;;30;;;;0;;;1h 16m
